Query Type,English,Arabic
"10.1 Cancellation - CX WANTS TO CANCEL THE ORDER IN READY TO PACK STAGE

But If the customer still insists to Cancel - Update the CX about the discount part (if used any discount in order)","The cancelation request is raised and this will take 10-15 minutes for our team to review & update your cancellation request and further you may please track the order status within the App.

The discount will be lost","تم رفع طلب الإلغاء، وسيستغرق الأمر 10-15 دقيقة حتى يقوم فريقنا بمراجعته وتحديث حالته. يمكنك متابعة حالة الطلب داخل التطبيق.
"
PAYMENT ISSUES (PAYMENT PENDING) ,"As checked, there seems to be a payment issue with your order (____), which could be due to insufficient balance, an inactive card, or a restriction from your bank.

You should have received a notification via SMS or the app asking you to update your payment method. Please change the payment card by selecting an already added card or adding a new one in the app to proceed with your order.

Please let me know if you need any help with this!","بعد التحقق، يبدو أن هناك مشكلة في الدفع لطلبك (____)، والتي قد تكون بسبب رصيد غير كافٍ، بطاقة غير نشطة، أو قيود من البنك الخاص بك.
من المفترض أنك تلقيت إشعارًا عبر الرسائل القصيرة أو التطبيق يطلب منك تحديث طريقة الدفع. يُرجى تغيير بطاقة الدفع عن طريق اختيار بطاقة مضافة مسبقًا أو إضافة بطاقة جديدة داخل التطبيق لإتمام الطلب.
أخبرني إن كنت بحاجة إلى أي مساعدة في ذلك!"
ORDER FAILED DUE TO PAYMENT ISSUE (Happens rarely),"I sincerely apologize for any inconvenience caused by the recent technical issue.It appears that the order failed due to a payment-related technical issue.

However, if any amount was deducted for the unsuccessful order, rest assured that it will be automatically reversed and refunded to your original card account within 3-7 working days, in accordance with your bank's policy. ","نأسف لما حدث، يبدو أن الطلبات قد فشلت بسبب مشكلة تقنية تتعلق بالدفع. ومع ذلك، في حال تم خصم أي مبلغ للطلبات غير الناجحة، نطمئنكم بأنه سيتم استرداده تلقائيًا وإعادته إلى حساب البنكي المستحدم في الدفع خلال 3-7 أيام عمل، وذلك وفقًا لسياسة البنك الخاص بكم.
"
"Order Failed due to a Payment Issue 

( Check Your Card Details in App & Don't Try More Than 3 Times to Place order )","I had a look at your order XXXX and saw that it was canceled due to a payment failure. It looks like the issue occurred while we were trying to process the payment with your bank.

Just to reassure you—no charges were applied from our end for this order.","اطلعت على طلبك رقم XXXX وتبيّن أنه تم إلغاؤه بسبب فشل في عملية الدفع. يبدو أن المشكلة حدثت أثناء محاولة معالجة الدفع مع البنك الخاص بك.

فقط لأطمئنك—لم يتم خصم أي مبالغ من جانبنا لهذا الطلب."
"Order Failed due to a Payment Issue 

( Check Your Card Details in App & Don't Try More Than 3 Times to Place order )","Please check your card details under App > Payment Method and try placing a new order.
If the payment still fails, avoid trying more than three times—just reach out, and I’ll help you from there.","يرجى التحقق من بيانات بطاقتك من خلال التطبيق > طريقة الدفع، ثم حاول تقديم طلب جديد.
إذا استمرت مشكلة الدفع، يُفضل عدم المحاولة أكثر من ثلاث مرات—فقط تواصل معي وسأساعدك مباشرة."
ADD ITEM IN ORDER / Modify the order,"I'm really sorry, but the system doesn't allow adding items to an order once it's placed. However, you can always place a new order for the additional items. Let me know if I can assist you with anything","نود إعلامك بأن النظام لا يتيح إضافة منتجات إلى الطلب بعد تأكيده. ومع ذلك، يمكنك دائمًا تقديم طلب جديد للمنتجات الإضافية. لا تتردد في التواصل معنا إذا كنت بحاجة إلى أي مساعدة أخرى.
"
Payment Issue,I'm really sorry to inform you that your order was canceled due to a payment issue. Please try using a different payment method or card and place a new order. Let me know if you need any help!,"نأسف لإبلاغك بأن طلبك قد تم إلغاؤه بسبب مشكلة في الدفع. يُرجى المحاولة مرة أخرى باستخدام طريقة دفع أو بطاقة مختلفة وإعادة تقديم الطلب. لا تتردد في إبلاغي إذا كنت بحاجة إلى أي مساعدة!
"
PAYMENT ISSUES (COMPLAINT),I have escalated this issue to our Payments Team for the necessary action. They will review it and provide a complete resolution within 2 hours.,لقد قمت بتمرير الأمر إلى فريق المدفوعات لاتخاذ الإجراءات اللازمة سيتم مراجعته وتقديم الحل خلال ساعتين.
NOON CREDITS REFUND TIME FRAME,Please be informed that the refund period for Noon Credits is 24-48 hours.,"يرجى العلم أن مدة استرداد المبلغ إلى رصيد noon تتراوح بين 24 إلى 48 ساعة.
"
DEBIT/CREDIT CARD REFUND TIME FRAME (UAE),"The amount should be reflected in your source card or bank account within 3-7 working days, depending on your bank’s policy. Let me know if you need any further assistance!","يرجى العلم بأنه ستتم إعادة المبلغ إلى حسابك البنكي المستخدم في الدفع خلال 3 إلى 7 أيام عمل، وفقا لسياسة البنك الخاص بك. لا تتردد في التواصل معنا إذا كنت بحاجة إلى أي مساعدة أخرى!
"
DEBIT/CREDIT CARD REFUND TIME FRAME (KSA),"The amount should be reflected in your source card or bank account within 3-7 working days, depending on your bank’s policy. Let me know if you need any further assistance!",سيتم عكس المبلغ في حسابك البنكي خلال 3-7 أيام عمل، وذلك وفقا لسياسة البنك الخاص بك. سعداء بمساعدتك في أي استفسار آخر!
"SPECIAL REQUEST for Store

(Use the 2nd line only if it's required)","I’ve raised your request with the team, and it should be updated within 10–15 minutes. They’ll try their best to fulfill it.","لقد قمنا برفع طلبك إلى الفريق المختص، وسيتم تحديثه خلال 10 إلى 15 دقيقة. سنبذل قصارى جهدنا لتنفيذه في أسرع وقت ممكن.
"
"SPECIAL REQUEST for Store

(Use the 2nd line only if it's required)","If the store is unable to fulfill the request, the order will continue as originally placed, and I appreciate your understanding in this regard.","يرجى العلم أنه في حال لم يتمكن المتجر من تنفيذ الطلب، فسيستمر الطلب كما تم تقديمه في الأصل نقدر تفهمك لهذا الأمر.
"
"Guide Cx, How to ""Add a Note"" for an item to give it to the Store - Applicable on Noon App

Available before the Checkout  only.

","Here’s how you can add a note for the store on the Noon app:

- Add the item(s) to your cart.

- On the cart page, you’ll see an option to Add Note for the store (if needed).

- Your request will be shared directly with the store.

Please note that while we’ll pass your request along, we won’t be able to offer refunds or cancellations if the store isn’t able to fulfill it.

Thanks for your understanding!","إليك خطوات بسيطة لإضافة ملاحظة إلى المتجر في تطبيق نون:

أضف المنتج/المنتجات إلى سلة التسوق.

في صفحة السلة، ستجد خيار إضافة ملاحظة إلى المتجر (إذا لزم الأمر).

سيتم إرسال طلبك مباشرة إلى المتجر.

يرجى ملاحظة أننا سنقوم بتمرير الملاحظة إلى المتجر، ولكن في حال تعذّر تنفيذ الطلب من قِبل المتجر، لن نتمكن من تقديم استرجاع أو إلغاء.

شكرًا لتفهمك!"
"SPECIAL REQUEST for Store - Deny Cx as Order Already in Processing Or Shipped Stage

Note: In NowNow Standalone App""Add Note"" option for store is not available","Your order is already being processed, and unfortunately, I’m unable to forward this request to the store at this stage.

For future orders, for certain items, there’s an ""Add Note"" feature on the cart page—I’d recommend adding any specific instructions there before placing your order.

I appreciate your patience and understanding!","موضح أمامنا أن طلبك قيد المعالجة، وللأسف، في هذه المرحلة لا يمكننا تمريره إلى المتجر
للطلبات المستقبلية، تتوافر ميزة ""إضافة ملاحظة"" على صفحة عربة التسوق لبعض المنتجات، يمكنك إضافة أي تعليمات خاصة هناك قبل إتمام الطلب وسنعمل علي تنفيذها في طلبك."
Special Request - Do not Ring Bell / Silent Delivery / Leave Shipment At Door / Hand Over Order to the Reception,"I'll pass this information to the team and do our best to accommodate your request, but we can't guarantee it, especially if the rider is already on the way and unreachable.

For future orders, you can select your preferred delivery request (e.g., Do Not Ring Bell / Leave at Door) on the Checkout page in the app. You can also add a note for the driver there.

I appreciate your understanding!","سنقوم بتمرير طلبك إلى الفريق المختص سنبذل قصارى جهدنا لتلبية طلبكم، ولكن لا يمكننا ضمان ذلك، خاصة إذا خرج مندوب لتوصيل الطلب فلا يمكن الوصول له.
لطلباتك القادمة، يمكنك اختيار تفضيلات التوصيل الخاصة بكم (مثل عدم قرع الجرس أو ترك الطلب عند الباب) من صفحة الدفع في التطبيق، ويمكنك إضافة ملحوظة للسائق هناك."
Special Request - Do not Ring Bell / Silent Delivery / Leave Shipment At Door / Hand Over Order to the Reception,"Furthermore, if needed, you can also contact the delivery associate through the contact details provided in the app.","بالإضافة إلى ذلك، في حال احتجت إلى ذلك، يمكنك التواصل مع مندوب التوصيل عبر تفاصيل الاتصال المتاحة في التطبيق.
"
STEPS TO CHANGE/UPDATE ADDRESS IN APP (NOT APPLICABLE FOR EXISTING ORDER) AS ADDRESS CAN BE UPDATED BY A CX BEFORE PLACING THE ORDER ONLY,"You can follow these steps to add a new address to your NowNow account:

- Log in to your NowNow account.
- Go to My Account and select Manage Addresses.
- Click on Add New Address.
- Use the Search button to enter your address.
- Make sure to select the accurate PIN on the map for correct delivery.
- Click Confirm Location, then enter the correct address details on the next screen.
- Click Save Address to complete the process.

Please let me know if you need any further assistance","قم بتسجيل الدخول إلى حسابك في nownow.
انتقل إلى ""حسابي"" ثم اختر ""إدارة العناوين"".
انقر على ""إضافة عنوان جديد""، واستخدم زر البحث لإدخال عنوانك.
حدد موقعك بدقة على الخريطة لضمان التوصيل الصحيح.
انقر على ""تأكيد الموقع""، ثم أدخل تفاصيل العنوان، ثم اختيار ""حفظ العنوان"" لإكمال العملية.
لا تتردد في إخبارنا إذا كنت بحاجة إلى أي مساعدة إضافية، نقدر تفهمكم!.




"
UNABLE TO SHARE THE IMAGES IN CHAT,"To upload an image in the NowNow chat:

Tap the attachment or camera icon (displayed at left end bottom).
Choose an option appeared on your screen to take ""screenshot / photo Or share file""
Capture / Attach the image and Tap on forward Arrow button

I hope this helps! Let me know if you need any further assistance with uploading image(s).","-اضغط على أيقونة المرفق أو الكاميرا (الموجودة في الزاوية اليسرى السفلية).

-اختر خيارًا من الشاشة لالتقاط ""لقطة شاشة / صورة أو مشاركة ملف.
-قم بالتقاط / إرفاق الصورة واضغط على زر السهم لإرسالها.

آمل أن يكون هذا مفيدًا! لا تتردد في إخبارنا إذا كنت بحاجة إلى أي مساعدة إضافية في تحميل الصور. 
"
IF STILL CX IS UNABLE TO SHARE IMAGES - ADVISE TO EMAIL US THE IMAGES,I’m sorry to know you're yet facing difficulties in sharing the required images. You can email them to us at care@noonnownow.com. Our team will review your email and respond as quickly as possible to assist you with your concern.,"نأسف لمعرفة أنك لا تزال تواجه مشكلة في إرسال الصور. لكن لا عليك, يمكنك إرسالها لنا عبر البريد الإلكتروني على care@noonnownow.com، وسيتولى فريقنا مراجعة الأمر والرد عليك والمساعدة في أقرب وقت ممكن.
"
MISSING ITEM COMPLAINT,"Please confirm whether the missing item ""_*_**"" was invoiced, the condition of the package (intact, damaged, or tampered), and share a picture of the store receipt from the NowNow package.","يرجى تأكيد ما إذا كان المنتج المفقود ""*"" مضاف إلي الفاتورة، بالإضافة إلى حالة الطرد (سليم أو تالف)، ومشاركة صورة من إيصال المتجر المرفق مع طرد NowNow.
"
MISSING ITEM COMPLAINT,"I've escalated this to the relevant team, and they will get back to you via email within ** - ** minutes. The full resolution may take up to ** hours.

I appreciate your patience and understanding!","لقد قمنا بتصعيد الأمر إلى الفريق المختص وسيتم التواصل معك عبر البريد الإلكتروني خلال ** - ** دقيقة. سيتم حل الأمر خلال** ساعة. نقدّر صبرك وتفهّمك!


"
WRONG ITEM COMPLAINT,"Please share a picture of the delivered item along with the store receipt so I can escalate this to the relevant team.

Also, kindly keep the item and invoice intact for any further assistance.","يرجى مشاركة صورة للمنتج الذي تم تسليمه مع إيصال المتجر حتى نتمكن من تصعيد الأمر إلى الفريق المختص.
كما يُرجى الاحتفاظ بالمنتج والفاتورة بحالتهم الأصلية لأي مساعدة إضافية."
WRONG ITEM COMPLAINT,"I've escalated this to the relevant team, and they will get back to you via email within **-** minutes. The full resolution may take up to **-** hours.

I appreciate your patience and understanding!","لقد قمت بتصعيد الأمر إلى الفريق المختص، وسيتم التواصل معك عبر البريد الإلكتروني خلال - دقيقة. قد يستغرق حله حتى - ساعة.
نقدر تفهمك الأمر!"
WE HAVE DELIVERED CORRECT ITEM - POLITELY DENY TO CX,"I’m really sorry for any inconvenience this has caused. I’ve reviewed your order for [ITEM_NAME], and it appears the correct item was delivered as placed.","نأسف لأي إزعاج قد نكون تسببنا فيه. لقد راجعنا طلبك الخاص بـ [ITEM_NAME]، ويبدو أن المنتج صحيح وتم تسليمه كما طُلب.

"
WE HAVE DELIVERED CORRECT ITEM - POLITELY DENY TO CX,"I completely understand this might be disappointing, but I’m unable to process a return in this case. I truly appreciate your understanding.","نعتذر عن أي إزعاج، لكن للأسف لا يمكننا معالجة الإرجاع في هذه الحالة. نقدر تفهمكم ونعمل دائمًا على تحسين تجربتكم معنا.

"
EXPIRED ITEM COMPLAINT,"I’m really sorry for any inconvenience this may have caused.

Please share a clear image of the item with the manufacturing and expiry dates visible, along with the store invoice, so I can escalate this to the team for further assistance.","نأسف لسماع ذلك, يرجى مشاركة صورة للمنتج موضح بها تواريخ التصنيع والانتهاء، بالإضافة إلى فاتورة المتجر، حتى نتمكن من تمرير الأمر إلى الفريق لتقديم المزيد من المساعدة."
EXPIRED ITEM COMPLAINT,"I've escalated this issue to the team, and they will get back to you via email within **-** minutes. The full resolution may take up to **-** hours.

Please keep the item and the original invoice for any refund or replacement. I appreciate your patience and understanding!","لقد قمت بتصعيد الأمر إلى الفريق المختص، وسيتم التواصل معك عبر البريد الإلكتروني خلال - دقيقة. قد تستغرق الحلول الكاملة حتى - ساعة.
يرجى الاحتفاظ بالمنتج والفاتورة الأصلية لأي استرداد أو استبدال. أقدر صبرك وتفهمك!"
DAMAGED ITEM COMPLAINT,INTERNAL NOTE - WE DO NEED TO Ask Cx TO SHARE ITEM IMAGES TO SEE THE VISIBLE DAMAGE IN THE ITEM,INTERNAL NOTE - WE DO NEED TO Ask Cx TO SHARE ITEM IMAGES TO SEE THE VISIBLE DAMAGE IN THE ITEM
DAMAGED ITEM COMPLAINT,Internal Note - Store Invoice is not required in Damaged Cases,Internal Note - Store Invoice is not required in Damaged Cases
DAMAGED ITEM COMPLAINT,"I've escalated this to the team, and they’ll get back to you via email within **-** minutes. The full resolution may take up to **-** hours, and I truly appreciate your patience while they work on it! Please keep the item and store invoice for any refund/replacement.","لقد قمنا بتصعيد الأمر إلى الفريق المختص، وسيتم التواصل معكم عبر البريد الإلكتروني خلال - دقيقة. قد يستغرق الحل الكامل ما يصل إلى - ساعة، ونقدر صبركم أثناء معالجة الأمر.
يرجى الاحتفاظ بالمنتج وفاتورة المتجر لأي استرداد أو استبدال."
COMPLAINT ALREADY RAISED,"Your issue has already been escalated, and the team is actively working on it. You’ll receive an update as soon as possible.","تم بالفعل تصعيد الأمر، ويعمل فريقنا المختص على حلها. ستتلقى تحديثًا في أقرب وقت ممكن.
"
COMPLAINT ALREADY RAISED,The Order Management Team is aware of the issue and is working to resolve it. I’ve also provided an update to help speed up the process.,"فريق إدارة الطلبات على علم بالأمر الذي واجهك ويعمل على حلها، وقد قمنا أيضًا بتحديثهم للمساعدة في تسريع العملية.
"
COMPLAINT ALREADY RAISED,"Rest assured, the team is doing their best to get this sorted as quickly as possible.","لا داعى للقلق، فريقنا المختص يبذل قصارى جهده لحل هذه الأمر في أسرع وقت ممكن.
"
COMPLAINT ALREADY RAISED,"I've updated your case, and the team is working to resolve it as quickly as possible.","لقد قمتُ بتحديث طلبك، ويعمل فريقنا على حلها في أسرع وقت ممكن.
"
COMPLAINT ALREADY RAISED,"I've sent another update to speed things up. Rest assured, the team is working to resolve this as quickly as possible.","لقد قمت بالتحديث علي الأمر. كن مطمئنًا، الفريق يعمل على حل هذه المسألة في أسرع وقت ممكن.
"
CALLBACK,"I've requested a callback from the team, and they’ll contact you within 1 to 2 hours. I appreciate your patience!","لقد قمنا بتقديم طلب للتواصل معك هاتفيآ، وسيتم التواصل خلال ساعة إلى ساعتين. نقدر صبرك!
"
CX FOLLOWS UP ON THE COMPLAINT  - WITHIN SLA,"Dear <customer_name>, I’ve escalated your concern for order XXXX to the relevant team under reference number (Ticket ID XXXX).

The complaint is already in progress, and we’re working to resolve it as soon as possible. You’ll receive an update from our escalation team shortly.

The maximum resolution time is XXXX hours from when it was raised, but we’re doing our best to have this resolved sooner. I truly appreciate your patience and understanding.","عزيزي <customer_name>،
لقد قمنا بتصعيد الشكوى الخاصة بالطلب XXXX إلى الفريق المختص تحت رقم المرجع (تذكرة رقم XXXX).
نعمل حاليًا على معالجة الشكوى في أسرع وقت ممكن، وستتلقى تحديثًا من فريق التصعيد قريبًا.
الحد الأقصى لحل الأمر هو XXXX ساعة، ونبذل قصارى جهدنا لحلها في وقت أقرب.
نقدرتفهمك، وشكرًا لتواصلك معنا.!"
Point to Remember >>>>>>>>>>>>>>>>>>>>>>,"*If the callback is raised after 10PM (UAE time), CX will receive the call from the team by 12 PM the next day.","*If the callback is raised after 10PM (UAE time), CX will receive the call from the team by 12 PM the next day."
"IF CX HAS ANY TECH ISSUES - PROBING CX AS PER KB & RAISE COMPLAINT
- Application Issue
- Unable to login/receive OTP
- unable to change his account info","I've highlighted your request to the concerned team, and they’ll get back to you with a resolution within 4 to 6 hours. Let me know if there's anything else I can help with in the meantime!","لقد قمنا بالتحديث على طلبك للفريق المختص، وسيتواصلون معك بالحل خلال 4 إلى 6 ساعات. هل هناك أي استفسار  يمكنني مساعدتك به في هذه الأثناء!

"
MOBILE NUMBER CHANGE OF ACCOUNT (NowNow Standalone app),"Due to maintaining the level of security on your account, We are unable to change the registered mobile number as it can be registered only once.","نظرًا للحفاظ على مستوى الأمان في حسابك، لا يمكننا تغيير رقم الجوال المسجل، حيث يمكن تسجيله مرة واحدة فقط.

"
MOBILE NUMBER CHANGE OF ACCOUNT (NowNow Standalone app),"Please note that each phone number and email address can only be linked to one NowNow account.
If you'd like, you can create a new account using your preferred mobile number and email.","يرجى ملاحظة أن كل رقم جوال وعنوان بريد إلكتروني يمكن ربطه بحساب واحد فقط على NowNow.
إذا رغبت، يمكنك إنشاء حساب جديد باستخدام رقم الجوال والبريد الإلكتروني الذي تفضله."
MOBILE NUMBER CHANGE OF ACCOUNT (Noon app),"You can update your mobile number by going to My Account > Profile Details > Change Mobile Number in the app.

","يمكنك تحديث رقم هاتفك المحمول من خلال الذهاب إلى حسابي > تفاصيل الملف الشخصي > تغيير رقم الجوال في التطبيق.
"
MOBILE NUMBER CHANGE OF ACCOUNT (Noon app),"If you also want to update the number linked to your saved addresses, head to the Address page and update it for each saved address individually.","
وإذا كنت ترغب في تحديث الرقم المرتبط بالعناوين المحفوظة، يمكنك التوجه إلى صفحة العناوين وتحديث الرقم لكل عنوان محفوظ على حدة."
Email or MOBILE NUMBER CHANGE OF ACCOUNT (NowNow on noon app),"For your account security, the registered email address cannot be changed.

However, you can update your primary mobile number by going to ‘My Account’ > ‘Profile Details’ > ‘Change Mobile Number’ in the app.

Please note, if you’d like to update the phone number linked to your saved addresses, you can do that by going to the ‘Address’ page and updating the number for each saved address individually.","لأمان حسابك، لا يمكن تغيير عنوان البريد الإلكتروني المسجل.

لكن، يمكنك تحديث رقم هاتفك من خلال الذهاب إلى ""حسابي"" > ""تفاصيل الملف الشخصي"" > ""تغيير رقم الهاتف"" في التطبيق.

يرجى ملاحظة أنه إذا كنت ترغب في تحديث رقم الهاتف المرتبط بعناوينك المحفوظة، يمكنك القيام بذلك من خلال صفحة ""العناوين"" وتحديث الرقم لكل عنوان محفوظ بشكل فردي.
"
DELIVERY FREE (NO WAIVE-OFF),"Please note that, as per our policy, the delivery fee is based on the distance between the store and the customer’s address and is always applicable. Unfortunately, we are unable to waive it.",يرجى العلم بأن رسوم التوصيل تُحدد  بشكل تلقائي بناءً على المسافة بين المتجر وعنوان العميل، وذلك وفقًا لسياستنا. 
DELETE CARD FROM ACCOUNT,"If you wish to delete a saved card on the NowNow App, you can do so by going to My Account > Payment Method and clicking on the delete icon.

Please note that you won’t be able to update (delete/change) your payment method if your current order is being processed. This can only be done once your order has been shipped.","إذا كنت ترغب في حذف بطاقة محفوظة على تطبيق NowNow، يمكنك ذلك من خلال الذهاب إلى حسابي > طريقة الدفع والضغط على أيقونة الحذف.
يرجى ملاحظة أنه لا يمكن تحديث (حذف/تغيير) طريقة الدفع إذا كان طلبك الحالي قيد المعالجة. يمكن القيام بذلك فقط بعد شحن الطلب."
STORE REDUCED QUANTITY,"Please be informed that the store may sometimes adjust the quantity based on availability, and you are only charged for the quantity that is shipped and delivered.

It’s possible that the item went out of stock, and the order was processed for the available quantity only. We appreciate your understanding.","يرجى العلم أن المتجر قد يقوم أحيانًا بتعديل الكمية بناءً على توفرها، ويتم تحصيل المبلغ فقط مقابل الكمية التي تم شحنها وتسليمها لك.
من المحتمل أن يكون المنتج قد نفد من المخزون، ولذلك تمت معالجة الطلب بالكمية المتوفرة فقط. نقدر تفهمك!"
PRICE INCREASED FOR AN ITEM,"The price has increased at the store due to updated supplier costs and market fluctuations. We truly understand how this might be frustrating, and we sincerely apologize for any inconvenience caused. This adjustment helps us maintain quality and service standards while ensuring the continued availability of our products. We appreciate your understanding.","تم تعديل السعر في المتجر نتيجة تحديث تكاليف المورد والتغيرات في السوق.
يهدف هذا التعديل إلى الحفاظ على جودة المنتجات والخدمات، وضمان توفرها بشكل مستمر. 
نأسف لأي إزعاج قد يكون نتج عن هذا التغيير، نقدر تفهمك الأمر."
If CX reaches out to us for NowNow plus subscription renewal query. ,"We’ve stopped the NowNow Plus subscription for all customers, and an email was sent about this earlier.

I understand this might be disappointing, but we’ve got some exciting new features and updates coming soon.

If you were already subscribed before it was discontinued, you’ll still enjoy unlimited free delivery until further notice.","لقد أوقفنا خدمة NowNow Plus لجميع العملاء، وقد تم إرسال بريد إلكتروني مسبق لإعلامك بذلك.

نتفهم أن هذا قد يكون مخيبًا للآمال، لكن لدينا ميزات وتحديثات جديدة ومثيرة قادمة قريبًا.

إذا كنت مشتركًا في NowNow Plus قبل إيقافها، فستستمر في الاستفادة من خدمة التوصيل المجاني غير المحدود حتى إشعار آخر."
WHAT IS NOON ONE SUBSCRIPTION,"noon One is an all-in-one subscription that offers free delivery and other special benefits.

For full details, please visit: https://www.noon.com/uae-en/noon-one/","نون ون هو اشتراك شامل يقدم لك توصيلًا مجانيًا بالإضافة إلى مزايا خاصة أخرى.
لمعرفة المزيد من التفاصيل حول نون ون، يمكنك زيارة الرابط التالي: https://www.noon.com/uae-en/noon-one/"
CX HAVING NOON ONE AND CX IS PLACING ORDER WITH NOWNOW APP AND NOT GETTING FREE DELIVERY,"Please note that Noon One benefits can only be availed on the Noon app and not on the NowNow app at the moment. However, our team is working on enabling Noon One in the NowNow app in the coming weeks, and we’ll notify you once it’s available.

In the meantime, if you place your NowNow order through the Noon app, you will receive free delivery. However, if you use the NowNow standalone app, Noon One benefits will not be applicable.","يرجى ملاحظة أن مزايا نون ون متاحة حاليًا فقط عبر تطبيق نون، وليست مفعلة على تطبيق ناو ناو.
يعمل فريقنا على توفير نون ون في تطبيق ناو ناو خلال الأسابيع القادمة، وسنقوم بإعلامك فور توفرها.
 في الوقت الحالي، عند طلب ناو ناو من خلال تطبيق نون، ستحصل على توصيل مجاني.
 لكن عند الطلب مباشرة عبر تطبيق ناو ناو، لن تكون مزايا نون ون متاحة حتى إشعار آخر."
CANCEL NOON ONE SUBSCRIPTION,"You can cancel your Noon One subscription directly through your Noon account in the Noon app.

To do so, go to My Account > Noon One > Manage Membership and follow the cancellation steps.

Please note that even after cancellation, your membership benefits will remain active until the expiry date, but the subscription won’t be renewed.","يمكنك إلغاء اشتراك نون ون مباشرة من خلال حسابك على تطبيق نون.
للقيام بذلك:
انتقل إلى حسابي.
اضغط على نون ون.
اختر إدارة العضوية واتبع خطوات الإلغاء.
💡 يرجى ملاحظة أنه حتى بعد الإلغاء، ستظل مزايا عضويتك سارية حتى تاريخ انتهائها، ولكن لن يتم تجديد الاشتراك تلقائيًا."
CX CAME FOR NOON RELATED ORDER/CONCERN,"It looks like your concern is related to Noon.com, which is a separate entity.

For assistance, you can:

Chat with the Noon team by going to ""My Account"" > ""Need Help?"", then go ahead with the appropriate reason selection.
or

Email them at care@noon.com, and they’ll investigate and provide the best possible solution.

Hope this helps!","يبدو أن استفسارك يخص Noon.com، وهي جهة مستقلة.

للحصول على المساعدة، يمكنك:

التحدث مع فريق نون عبر خيار ""حسابي"" > ""هل تحتاج إلى مساعدة؟""، ثم المتابعة باختيار السبب المناسب.
أو

إرسال بريد إلكتروني إلى care@noon.com، وسيقوم الفريق بمراجعة الأمر وتقديم أفضل حل ممكن.

نأمل أن يكون هذا مفيدًا!"
CX CAME FOR NOON MINUTES RELATED ORDER/CONCERN,"Noon Minutes is a separate entity. You can contact their team through the Noon Minutes app by following these steps:

- Open the Noon Minutes app.
- Go to My Account.
- Select Orders.
- Choose the relevant order.
- Click on Need Help.
- Select the appropriate option for assistance.

Alternatively, you can email them at help.minutes@noon.com for further support","نون مينتس خدمة مستقلة، وللحصول على الدعم، يمكنك التواصل مع فريقهم من خلال تطبيق نون مينتس باتباع الخطوات التالية:
نرجو منك الدخول على تطبيق نون مينتس.
 ثم الانتقال إلى ""حسابي"".
اختيار ""الطلبات"" وتحديد الطلب المعني.
النقر على ""بحاجة إلى مساعدة؟"".
تحديد السبب المناسب للحصول على الدعم المطلوب.
كما يمكنك التواصل مع الفريق عبر البريد الإلكتروني help.minutes@noon.com لمزيد من المساعدة.





"
CX WANTS INVOICE,"Please note that order invoices are provided by our store partners. However, service and delivery fee invoices can be downloaded separately from the ""Orders"" section in the NowNow app.

Simply go to My Account > Orders and tap on ‘Download’ to get the Delivery & Service Fee invoices.

Hope this helps!","يرجى العلم بأن فواتير الطلبات يتم إصدارها من قبل شركائنا في المتاجر. ومع ذلك، يمكنك تحميل فواتير رسوم الخدمة والتوصيل بشكل منفصل من قسم الطلبات في تطبيق ناو ناو.
للقيام بذلك، انتقل إلى حسابي > الطلبات ثم اضغط على ""تحميل"" للحصول على فواتير رسوم التوصيل والخدمة.
نأمل أن يكون هذا مفيدًا لك!"
Before Placing Order - If Cx Asks to Add a TIP for DA - Appliable to noon App only,"Thanks so much for wanting to appreciate our riders!

You can add a tip at checkout while placing your order through NowNow on the Noon app. Just make sure to do it before placing the order, as the option won’t be available afterward.","شكرًا جزيلاً لرغبتك في تقدير سائقي التوصيل لدينا!

يمكنك إضافة بقشيش أثناء عملية الدفع عند تقديم الطلب من خلال ناو ناو في تطبيق نون. فقط تأكد من إضافته قبل تأكيد الطلب، لأن الخيار لن يكون متاحًا بعد ذلك."
After Placing Order - If Cx Asks to Add a TIP for DA - Appliable to noon App only,"Really appreciate your kind gesture and support for our riders!

Since the order has already been placed, we’re not able to make any changes at this stage.

For future orders, you can add a tip during checkout when placing your order through NowNow on the Noon app. 

Just a note—the option won’t be available once the order goes through. Hope that helps!","نقدّر جدًا لطفك ودعمك لسائقي التوصيل لدينا!

نظرًا لأن الطلب قد تم بالفعل، لا يمكننا إجراء أي تعديلات في هذه المرحلة.

في الطلبات القادمة، يمكنك إضافة بقشيش أثناء عملية الدفع عند الطلب من خلال ناو ناو في تطبيق نون.

فقط للتنويه، خيار البقشيش لن يكون متاحًا بعد إتمام الطلب. نأمل أن تكون هذه المعلومة مفيدة!"
IF CX Asks to Add a TIP for DA (NOWNOW STANDALONE APP) - POLITELY DENY,"Thank you for acknowledging the efforts of our riders.

At this time, the NowNow app does not support a tipping feature. However, your feedback is valuable and will be shared with the relevant team for future evaluation.

If you are placing an order through the Noon app, the option to add a tip is available during the checkout process. Please note that this feature is only accessible prior to order confirmation.","شكرًا لتقديرك لجهود سائقي التوصيل لدينا.

في الوقت الحالي، تطبيق ناو ناو لا يدعم خاصية إضافة البقشيش. ومع ذلك، نقدّر ملاحظتك وسنشاركها مع الفريق المختص للنظر فيها مستقبلًا.

إذا كنت تقدم طلبك من خلال تطبيق نون، يمكنك إضافة بقشيش أثناء عملية الدفع. يرجى ملاحظة أن هذه الخاصية متاحة فقط قبل تأكيد الطلب."
